Plate ,  Well ,  Part ,  Plasmid ,  Resistance ,  Well Status ,  Comments ,  Type ,  Subparts ,  Source ,  Gel Overall ,  Quantity ,  Plamsid ,  Sequencing ,  Seq Comment ,  Short Description , 
40, 1A, BBa_R1050, pSB2K0, --, OK, , Regulatory, 1, , , , , No sequence info, , "Promoter  Standard (HK022 cI regulated) <br>", 
40, 1C, BBa_R1052, pSB2K0, --, OK, , Regulatory, 1, , , , , No sequence info, , "Promoter  Standard (434 cI regulated)<br>", 
40, 1E, BBa_R1053, pSB2K0, --, OK, , Regulatory, 1, , , , , No sequence info, , "Promoter  Standard (p22 cII regulated)<br>", 
40, 1G, BBa_I1010, pSB2K0, --, OK, , Regulatory, 1, , , , , No sequence info, , "cI(1) fused to tetR promoter", 
40, 1I, BBa_I1011, pSB2K0, --, OK, , RNA, 1, , , , , No sequence info, , "CI(1) &quot;KISS&quot; asRNA without promoter", 
40, 1K, BBa_I1012, pSB2K0, --, OK, , RNA, 1, , , , , No sequence info, , "CI(1) micRNA asRNA", 
40, 1M, BBa_I1013, pSB2K0, --, OK, , RNA, 1, , , , , No sequence info, , "CI(1) IS10 asRNA", 
40, 1O, BBa_I1020, pSB2K0, --, OK, , RNA, 1, , , , , No sequence info, , "Custom cI(2) Protein w/LacO-1 Promoter", 
40, 2A, BBa_S01459, pSB2K3, --, OK, , Intermediate, 6, , , , , No sequence info, , "--Specify Parts List--", 
40, 2C, BBa_S01445, pSB2K3, --, OK, , Intermediate, 6, , , , , No sequence info, , "--Specify Parts List--", 
40, 2E, BBa_S01453, pSB2K3, --, OK, , Intermediate, 6, , , , , No sequence info, , "--Specify Parts List--", 
40, 2I, BBa_E0613, pSB2K3, --, OK, , Composite, 10, , , , , No sequence info, , "I0500.Q04511.E0430", 
40, 2K, BBa_E0612, pSB2K3, --, OK, , Intermediate, 10, , , , , No sequence info, , "I0500.Q04510.E0430", 
40, 2M, BBa_E0614, pSB2K3, --, OK, , Composite, 10, , , , , No sequence info, , "I0500.Q04520.E0430", 
40, 2O, BBa_M0100, pSB2K3, --, OK, , RNA, 1, , , , , No sequence info, , "tRNA_Arg5 to use as transcriptional reporter", 
40, 3A, BBa_I1021, pSB2K0, --, OK, , RNA, 1, , , , , No sequence info, , "Antisense RNA w/BBa_I1020 Interference (KISS)", 
40, 3C, BBa_I1022, pSB2K0, --, OK, , RNA, 1, , , , , No sequence info, , "Antisense RNA w/BBa_I1020 Interference (micRNA)", 
40, 3E, BBa_I1023, pSB2K0, --, OK, , RNA, 1, , , , , No sequence info, , "CI(2) IS10 asRNA", 
40, 3G, BBa_I1030, pSB2K0, --, OK, , RNA, 1, , , , , No sequence info, , "RNA Regulation Target  ( Promoter driven by C0040 and cI mod #1 CDS)", 
40, 3I, BBa_I1031, pSB2K0, --, OK, , RNA, 1, , , , , No sequence info, , "CI(1) &quot;KISS&quot; asRNA", 
40, 3K, BBa_I1032, pSB2K0, --, OK, , RNA, 1, , , , , No sequence info, , "CI(1) &quot;micRNA&quot; asRNA", 
40, 3M, BBa_I1034, pSB2K0, --, OK, , RNA, 1, , , , , No sequence info, , "CI(1) &quot;KISS&quot; asRNA without promoter", 
40, 3O, BBa_I1040, pSB2K0, --, OK, , RNA, 1, , , , , No sequence info, , "RNA Regulation Target  ( Promoter driven by C0010 and cI(2) CDS)", 
40, 4A, BBa_I6116, pSB2K3, --, OK, , Measurement, 4, , , , , No sequence info, , "R0077.E0030.B0015", 
40, 4C, BBa_S01417, pSB2K3, --, OK, , Intermediate, 10, , , , , No sequence info, , "--Specify Parts List--", 
40, 4E, BBa_S01416, pSB2K3, --, OK, , Intermediate, 6, , , , , No sequence info, , "--Specify Parts List--", 
40, 4G, BBa_S01656, pSB2K3, --, OK, , Intermediate, 5, , , , , No sequence info, , "--Specify Parts List--", 
40, 4I, BBa_S01533, pSB2K3, --, OK, , Intermediate, 10, , , , , No sequence info, , "--Specify Parts List--", 
40, 4K, BBa_S01655, pSB2K3, --, OK, , Intermediate, 5, , , , , No sequence info, , "--Specify Parts List--", 
40, 4M, BBa_S01674, pSB2K3, --, OK, , Intermediate, 16, , , , , No sequence info, , "R0062.Q04400.Q04121.Q04511", 
40, 4O, BBa_S01675, pSB2K3, --, OK, , Intermediate, 9, , , , , No sequence info, , "Q04400.E0432", 
40, 5A, BBa_I1041, pSB2K0, --, OK, , RNA, 1, , , , , No sequence info, , "CI(2) &quot;KISS&quot; asRNA", 
40, 5C, BBa_I1044, pSB2K0, --, OK, , RNA, 1, , , , , No sequence info, , "CI(2) &quot;KISS&quot; asRNA without Promoter", 
40, 5E, BBa_I1060, pSB2K0, --, OK, , RNA, 1, , , , , No sequence info, , "Custom cI(2) Protein w/LacO-1 Promoter (Used for Anti-sense inhibition)", 
40, 5G, BBa_I1063, pSB2K0, --, OK, , RNA, 1, , , , , No sequence info, , "CI(2) IS10 asRNA", 
40, 5I, BBa_C0070, pSB2K3, --, OK, , Coding, 1, , , , , No sequence info, , "autoinducer synthetase for N-butyryl-HSL (BHL) and HHL", 
40, 5K, BBa_C0071, pSB2K3, --, OK, , Coding, 1, , , , , No sequence info, , "rhlR repressor/activator from P. aeruginosa PA3477 (+LVA)", 
40, 5M, BBa_C0072, pSB2K3, --, OK, , Coding, 1, , , , , No sequence info, , "mnt repressor (strong) from Salmonella phage P22 (+LVA)", 
40, 5O, BBa_C0073, pSB2K3, --, OK, , Coding, 1, , , , , No sequence info, , "mnt repressor (weak) from Salmonella phage P22 (+LVA)", 
40, 6A, BBa_S01839, pSB2K3, --, OK, , Intermediate, 16, , , , , No sequence info, , "--Specify Parts List--", 
40, 6C, BBa_S01841, pSB2K3, --, OK, , Intermediate, 14, , , , , No sequence info, , "--Specify Parts List--", 
40, 6E, BBa_S01895, pSB2K3, --, OK, , Intermediate, 36, , , , , No sequence info, , "Intermediate part from assembly 240", 
40, 6G, BBa_S01897, pSB2K3, --, OK, , Intermediate, 10, , , , , No sequence info, , "--Specify Parts List--", 
40, 6I, BBa_S01889, pSB2K3, --, OK, , Intermediate, 11, , , , , No sequence info, , "Intermediate part from assembly 243", 
40, 6K, BBa_S01641, pSB2K3, --, OK, , Intermediate, 16, , , , , No sequence info, , "--Specify Parts List--", 
40, 6M, BBa_S01902, pSB2K3, --, OK, , Intermediate, 16, , , , , No sequence info, , "--Specify Parts List--", 
40, 6O, BBa_S01900, pSB2K3, --, OK, , Intermediate, 16, , , , , No sequence info, , "--Specify Parts List--", 
40, 7A, BBa_C0074, pSB2K3, --, OK, , Coding, 1, , , , , No sequence info, , "penI repressor from Bacillus licheniformis (+LVA)", 
40, 7C, BBa_C0075, pSB2K3, --, OK, , Coding, 1, , , , , No sequence info, , "TP901 cI repressor from phage TP901-1  (+LVA)", 
40, 7E, BBa_C0076, pSB2K3, --, OK, , Coding, 1, , , , , No sequence info, , "autoinducer synthetase", 
40, 7G, BBa_C0077, pSB2K3, --, OK, , Coding, 1, , , , , No sequence info, , "cinR activator from Rhizobium leguminosarum (+LVA)", 
40, 7I, BBa_C0078, pSB2K3, --, OK, , Coding, 1, , , , , No sequence info, , "autoinducer synthetase for PAI from Pseudomonas aeruginosa", 
40, 7K, BBa_C0079, pSB2K3, --, OK, , Coding, 1, , , , , No sequence info, , "lasR activator from P. aeruginosa PAO1(+LVA)", 
40, 7M, BBa_C0080, pSB2K3, --, OK, , Coding, 1, , , , , No sequence info, , "araC arabinose operon regulatory protein (repressor/activator) from E. coli (+LVA)", 
40, 7O, BBa_C0082, pSB2K3, --, OK, , Coding, 1, , , , , No sequence info, , "Receptor  tar-envZ", 
40, 8A, BBa_S01536, pSB2K3, --, OK, , Intermediate, 10, , , , , No sequence info, , "--Specify Parts List--", 
40, 8C, BBa_S03182, pSB2K3, --, OK, , Intermediate, 3, , , , , No sequence info, , "R0011.B0034.C0051", 
40, 8E, BBa_S01896, pSB2K3, --, OK, , Intermediate, 9, , , , , No sequence info, , "Intermediate part from assembly 240", 
40, 8G, BBa_I13617, pSB2K3, --, OK, , Measurement, 10, , , , , No sequence info, , "Cascaded Tet (elowitz) and Lac (medium) QPIs", 
40, 8I, BBa_I13627, pSB2K3, --, OK, , Measurement, 10, , , , , No sequence info, , "Cascaded Lac (elowitz) and Tet (medium) QPIs", 
40, 8K, BBa_I13626, pSB2K3, --, OK, , Measurement, 10, , , , , No sequence info, , "Cascaded Lac (elowitz) and Tet (weak) QPIs", 
40, 8M, BBa_I13624, pSB2K3, --, OK, , Measurement, 10, , , , , No sequence info, , "Cascaded Lac (medium) and Tet (medium) QPIs", 
40, 8O, BBa_I13614, pSB2K3, --, OK, , Measurement, 10, , , , , No sequence info, , "Cascaded Tet (medium) and Lac (medium) QPIs", 
40, 9A, BBa_C0083, pSB2K3, --, OK, , Coding, 1, , , , , No sequence info, , "aspartate ammonia-lyase", 
40, 9C, BBa_C2001, pSB2K3, --, OK, , Coding, 1, , , , , No sequence info, , "Zif23-GCN4 engineered repressor (+LVA  C2000 codon-optimized for E.coli)", 
40, 9E, BBa_E0033, pSB2K3, --, OK, , Reporter, 1, , , , , No sequence info, , "LacZ alpha fragment; complements matching N-terminal deletion mutant (lacZ-omega)", 
40, 9G, BBa_R0052, pSB2K3, --, OK, , Regulatory, 1, , , , , No sequence info, , "Promoter (434 cI regulated)", 
40, 9I, BBa_I0500, pSB2K3, --, OK, , Regulatory, 1, , , , , No sequence info, , "Inducible pBad/araC promoter", 
40, 9K, BBa_R0061, pSB2K3, --, OK, , Regulatory, 1, , , , , No sequence info, , "Promoter (HSL-mediated luxR repressor)", 
40, 9M, BBa_R0073, pSB2K3, --, OK, , Regulatory, 1, , , , , No sequence info, , "Promoter (Mnt regulated)", 
40, 9O, BBa_R0081, pSB2K3, --, OK, , Regulatory, 1, , , , , No sequence info, , "Inhibitor (AraC loop attachment with O2 site)", 
40, 10A, BBa_I13402, pSB2K3, --, OK, , Composite, 8, , , , , No sequence info, , "GFP+Pbad CFP", 
40, 10C, BBa_I5000, pSB3K3, --, OK, , Generator, 5, , , , , No sequence info, , "Olmecs: Inducible expression of HK022 cI repressor", 
40, 10E, BBa_I5010, pSB3K3, --, OK, , Generator, 5, , , , , No sequence info, , "Olmecs: Inducible expression of Lambda cI repressor", 
40, 10G, BBa_I5020, pSB3K3, --, OK, , Generator, 5, , , , , No sequence info, , "Olmecs: Inducible expression of 434 cI repressor", 
40, 10I, BBa_I5030, pSB3K3, --, OK, , Generator, 5, , , , , No sequence info, , "Olmecs: Inducible expression of P22 c2 repressor", 
40, 10K, BBa_I7100, pSB3K3, --, OK, , Measurement, 5, , , , , No sequence info, , "TetR repressible GFP generator", 
40, 10M, BBa_I15004, pSB3K3, --, OK, , Composite, 14, , , , , No sequence info, , "LuxR generator + LacI regulated lambda cI (LVA)+LuxI (LVA)", 
40, 11A, BBa_R2000, pSB2K3, --, OK, , Regulatory, 1, , , , , No sequence info, , "Promoter  Zif23 regulated  test: between", 
40, 11C, BBa_R2001, pSB2K3, --, OK, , Regulatory, 1, , , , , No sequence info, , "Promoter  Zif23 regulated  test: after", 
40, 11E, BBa_R2002, pSB2K3, --, OK, , Regulatory, 1, , , , , No sequence info, , "Promoter  Zif23 regulated  test: between and after", 
40, 11G, BBa_Q03530, pSB2K3, --, OK, , Composite, 5, , , , , No sequence info, , "QPI (B0033.C0053.B0015.R0053)", 
40, 11I, BBa_Q01121, pSB2K3, --, OK, , Inverter, 5, , , , , No sequence info, , "QPI (B0031.C0012.B0015.R0011)", 
40, 11K, BBa_Q01400, pSB2K3, --, OK, , Inverter, 5, , , , , No sequence info, , "QPI (TetR  Medium RBS)", 
40, 11M, BBa_Q01510, pSB2K3, --, OK, , Composite, 5, , , , , No sequence info, , "QPI (B0031.C0051.B0015.R0051)", 
40, 11O, BBa_Q01511, pSB2K3, --, OK, , Composite, 5, , , , , No sequence info, , "QPI (B0031.C0051.B0015.R0065)", 
40, 12A, BBa_E3030, pSB2K3, --, OK, "Plasmid unknown, KanR, some AmpR", Reporter, 1, , , , , No sequence info, , "FRET acceptor YPet (optimized to work with CyPet (Cyan FP) as donor", 
40, 12C, BBa_S01420, pSB2K3, --, OK, "Plasmid unknown, KanR", Intermediate, 10, , , , , No sequence info, , "--Specify Parts List--", 
40, 12E, BBa_I13700, pSB2K3, --, OK, "Plasmid unknown, KanR, some AmpR", Coding, 1, , , , , No sequence info, , "CheY", 
40, 12G, BBa_I13702, pSB2K3, --, OK, "Plasmid unknown, KanR, some AmpR", Coding, 1, , , , , No sequence info, , "CheR", 
40, 12I, BBa_J04606, , --, OK, "BH, RbsTheoOff, FWI0CL401, Kan R", RNA, 1, , , , , No sequence info, , "Antiswitch repressing Biobrick coding sequence at the RBS ("Off" switch)", 
40, 12K, BBa_J04685, , --, OK, "BH, YTheOn,FWJ0CL204, KanR no MBC", RNA, 1, , , , , No sequence info, , "Antiswitch enabling production of EYFP ("On" switch)", 
40, 12M, BBa_J04686, , --, OK, "BH, YTheoOff, FWM0CL202, Kan R", RNA, 1, , , , , No sequence info, , "Antiswitch repressing production of EYFP ("Off" switch)", 
40, 13A, BBa_Q01530, pSB2K3, --, OK, , Composite, 5, , , , , No sequence info, , "QPI (B0031.C0053.B0015.R0053)", 
40, 13C, BBa_Q03121, pSB2K3, --, OK, , Inverter, 5, , , , , No sequence info, , "QPI (LacI)", 
40, 13E, BBa_Q03400, pSB2K3, --, OK, , Inverter, 5, , , , , No sequence info, , "QPI (tetR)", 
40, 13G, BBa_Q04121, pSB2K3, --, OK, , Inverter, 5, , , , , No sequence info, , "QPI (B0034.C0012.B0015.R0011)", 
40, 13I, BBa_Q04400, pSB2K3, --, OK, , Inverter, 5, , , , , No sequence info, , "QPI (B0034.C0040.B0015.R0040)", 
40, 13K, BBa_Q04510, pSB2K3, --, OK, , Inverter, 5, , , , , No sequence info, , "QPI (B0034.C0051.B0015.R0051)", 
40, 13M, BBa_Q04511, pSB2K3, --, OK, , Inverter, 5, , , , , No sequence info, , "QPI (B0034.C0051.B0015.R0065)", 
40, 13O, BBa_Q04520, pSB2K3, --, OK, , Inverter, 5, , , , , No sequence info, , "QPI (B0034.C0052.B0015.R0052)", 
40, 15A, BBa_Q04530, pSB2K3, --, OK, , Inverter, 5, , , , , No sequence info, , "QPI (B0034.C0053.B0015.R0053)", 
40, 15C, BBa_I5601, pSB2K3, --, OK, , Project, 20, , , , , No sequence info, , "Olmecs *: Dualator part 2", 
40, 15E, BBa_I5602, pSB2K3, --, OK, , Project, 40, , , , , No sequence info, , "Olmecs *: Dualator", 
40, 15G, pSB2K3, pSB2K3, --, OK, , Plasmid_Backbone, 1, , , , , No sequence info, , "Inducible copy number BioBrick plasmid", 
40, 15I, BBa_I12006, pSB2K3, --, OK, , Regulatory, 1, , , , , No sequence info, , "Modified lamdba Prm promoter (repressed by 434 cI)", 
40, 15K, BBa_I12007, pSB2K3, --, OK, , Regulatory, 1, , , , , No sequence info, , "Modified lambda Prm promoter (OR-3 obliterated)", 
40, 15M, BBa_E1010, pSB2K3, --, OK, , Coding, 1, , , , , No sequence info, , " **highly** engineered mutant of red fluorescent protein from Discosoma striata (coral)", 
40, 15O, BBa_C0024, pSB2K3, --, OK, , Coding, 1, , , , , No sequence info, , "CheB chemotaxis coding sequence (protein glutamate methylesterase)", 
40, 17C, BBa_I14015, pSB2K3, --, OK, , Regulatory, 1, , , , , No sequence info, , "P(Las) TetO", 
40, 17E, BBa_I14016, pSB2K3, --, OK, , Regulatory, 1, , , , , No sequence info, , "P(Las) CIO", 
40, 17G, BBa_I14017, pSB2K3, --, OK, , Regulatory, 1, , , , , No sequence info, , "P(Rhl)", 
40, 17I, BBa_I14018, pSB2K3, --, OK, , Regulatory, 1, , , , , No sequence info, , "P(Bla)", 
40, 17K, BBa_I14032, pSB2K3, --, OK, , Regulatory, 1, , , , , No sequence info, , "promoter P(Lac) IQ", 
40, 17M, BBa_I14033, pSB2K3, --, OK, , Regulatory, 1, , , , , No sequence info, , "P(Cat)", 
40, 17O, BBa_I14034, pSB2K3, --, OK, , Regulatory, 1, , , , , No sequence info, , "P(Kat)", 
40, 19C, BBa_I12036, pSB2K3, --, OK, , Regulatory, 1, , , , , No sequence info, , "Modified lamdba Prm promoter (cooperative repression by 434 cI)", 
40, 19E, BBa_I12040, pSB2K3, --, OK, , Regulatory, 1, , , , , No sequence info, , "Modified lambda P(RM) promoter: -10 region from P(L) and cooperatively repressed by 434 cI", 
40, 19G, BBa_I11033, pSB2K3, --, OK, , DNA, 1, , , , , No sequence info, , "P22 ''attP''", 
40, 19I, BBa_I11032, pSB2K3, --, OK, , DNA, 1, , , , , No sequence info, , "P22 ''attB''  reverse complement", 
40, 19K, BBa_I11022, pSB2K3, --, OK, , DNA, 1, , , , , No sequence info, , "Lambda attB  reverse complement", 
40, 19M, BBa_I11023, pSB2K3, --, OK, , DNA, 1, , , , , No sequence info, , "Lambda attP", 
40, 19O, BBa_I11021, pSB2K3, --, OK, , Coding, 1, , , , , No sequence info, , "excisionase from E. coli phage lambda (removes prophage from host genome)", 
40, 21A, BBa_I15008, pSB2K3, --, OK, , Coding, 1, , , , , No sequence info, , "heme oxygenase (ho1) from Synechocystis", 
40, 21C, BBa_I15009, pSB2K3, --, OK, , Coding, 1, , , , , No sequence info, , "phycocyanobilin:ferredoxin oxidoreductase (PcyA) from synechocystis", 
40, 21E, BBa_I11030, pSB2K3, --, OK, , Coding, 1, , , , , No sequence info, , "integrase from E. coli phage P22", 
40, 21G, BBa_I11031, pSB2K3, --, OK, , Coding, 1, , , , , No sequence info, , "excisionase from E. coli phage P22 (removes prophage from host genome)", 
40, 21I, BBa_E2020, pSB2K3, --, OK, , Reporter, 1, , , , , No sequence info, , "enhanced version of ECFP  yeast-optimized", 
40, 21K, BBa_E2030, pSB2K3, --, OK, , Reporter, 1, , , , , No sequence info, , "enhanced version of EYFP  yeast-optimized", 
40, 21M, BBa_E2050, pSB2K3, --, OK, , Coding, 1, , , , , No sequence info, , "derivative of mRFP1  yeast-optimized", 
40, 21O, BBa_E2060, pSB2K3, --, OK, , Reporter, 1, , , , , No sequence info, , "derivative of mRFP1  yeast-optimized", 
40, 23A, BBa_S01001, pSB2K3, --, OK, , Intermediate, 6, , , , , No sequence info, , "R0040.Q04400", 
40, 23C, BBa_I13018, pSB2K3, --, OK, , Signalling, 5, , , , , No sequence info, , "LuxR Cassette under Ptet (Other)", 
40, 23E, BBa_S01006, pSB2K3, --, OK, , Intermediate, 9, , , , , No sequence info, , "Q04510.E0432", 
40, 23G, BBa_S01532, pSB2K3, --, OK, , Intermediate, 6, , , , , No sequence info, , "--Specify Parts List--", 
40, 23I, BBa_S01650, pSB2K3, --, OK, , Intermediate, 6, , , , , No sequence info, , "--Specify Parts List--", 
40, 23K, BBa_S01642, pSB2K3, --, OK, , Intermediate, 6, , , , , No sequence info, , "--Specify Parts List--", 
40, 23M, BBa_S01449, pSB2K3, --, OK, , Intermediate, 6, , , , , No sequence info, , "--Specify Parts List--", 
40, 23O, BBa_S01455, pSB2K3, --, OK, , Intermediate, 6, , , , , No sequence info, , "--Specify Parts List--", 
