Plate ,  Well ,  Part ,  Plasmid ,  Resistance ,  Well Status ,  Comments ,  Type ,  Subparts ,  Source ,  Gel Overall ,  Quantity ,  Plamsid ,  Sequencing ,  Seq Comment ,  Short Description , 
159, 1A, BBa_R1050, pSB2K0, --, OK, , Regulatory, 1, , , , , No sequence info, , "Promoter  Standard (HK022 cI regulated) <br>", 
159, 1B, BBa_F1610, pSB1AK3, --, OK, "Was BBa_I0461", Signalling, 4, , , , , No sequence info, , "3OC<sub>6</sub>HSL Sender Device", 
159, 1C, BBa_R1052, pSB2K0, --, OK, , Regulatory, 1, , , , , No sequence info, , "Promoter  Standard (434 cI regulated)<br>", 
159, 1D, BBa_J04450, pSB1A2, --, OK, , Reporter, 5, , , , , No sequence info, , "RFP Coding Device", 
159, 1E, BBa_R1053, pSB2K0, --, OK, , Regulatory, 1, , , , , No sequence info, , "Promoter  Standard (p22 cII regulated)<br>", 
159, 1F, BBa_J04630, pSB1AK3, --, OK, , Reporter, 3, , , , , No sequence info, , "E0040.B0015", 
159, 1G, BBa_I1010, pSB2K0, --, OK, , Regulatory, 1, , , , , No sequence info, , "cI(1) fused to tetR promoter", 
159, 1H, BBa_J04650, pSB1AK3, --, OK, , Reporter, 3, , , , , No sequence info, , "E1010.B0015", 
159, 1I, BBa_I1011, pSB2K0, --, OK, , RNA, 1, , , , , No sequence info, , "CI(1) &quot;KISS&quot; asRNA without promoter", 
159, 1J, BBa_J04421, pSB1A2, --, OK, , Reporter, 5, , , , , No sequence info, , "ECFP Coding Device with Promoter  RBS  Coding Sequence  and Terminator", 
159, 1K, BBa_I1012, pSB2K0, --, OK, , RNA, 1, , , , , No sequence info, , "CI(1) micRNA asRNA", 
159, 1L, BBa_J04430, pSB1A2, --, OK, , Reporter, 5, , , , , No sequence info, , "GFP coding device switched on by IPTG", 
159, 1M, BBa_I1013, pSB2K0, --, OK, , RNA, 1, , , , , No sequence info, , "CI(1) IS10 asRNA", 
159, 1O, BBa_I1020, pSB2K0, --, OK, , RNA, 1, , , , , No sequence info, , "Custom cI(2) Protein w/LacO-1 Promoter", 
159, 2A, BBa_S01459, pSB2K3, --, OK, , Intermediate, 6, , , , , No sequence info, , "--Specify Parts List--", 
159, 2B, BBa_P1010, pSB1AC3, --, OK, "CcdB", Generator, 1, , , , , No sequence info, , "ccdB cell death gene", 
159, 2C, BBa_S01445, pSB2K3, --, OK, , Intermediate, 6, , , , , No sequence info, , "--Specify Parts List--", 
159, 2E, BBa_S01453, pSB2K3, --, OK, , Intermediate, 6, , , , , No sequence info, , "--Specify Parts List--", 
159, 2F, BBa_J01001, pSB1A2, --, OK, , Coding, 1, , , , , No sequence info, , "TraJr protein (controls conjugative transfer in RP4 plasmid)", 
159, 2H, BBa_J01003, pSB1A2, --, OK, , Conjugation, 1, , , , , No sequence info, , "OriT-R (Origin of transfer for the R-plasmid nic region)", 
159, 2I, BBa_E0613, pSB2K3, --, OK, , Composite, 10, , , , , No sequence info, , "I0500.Q04511.E0430", 
159, 2J, BBa_J01060, pSB1A2, --, OK, , Intermediate, 2, , , , , No sequence info, , "OnLock1 = [pTet][Lock1]", 
159, 2K, BBa_E0612, pSB2K3, --, OK, , Intermediate, 10, , , , , No sequence info, , "I0500.Q04510.E0430", 
159, 2L, BBa_J01101, pSB1A2, --, OK, , Generator, 5, , , , , No sequence info, , " [pTet][StrRBS][cI][DblTerm]", 
159, 2M, BBa_E0614, pSB2K3, --, OK, , Composite, 10, , , , , No sequence info, , "I0500.Q04520.E0430", 
159, 2N, BBa_J01141, pSB1A2, --, OK, , RNA, 2, , , , , No sequence info, , "[pLacI pL][key1]", 
159, 2O, BBa_M0100, pSB2K3, --, OK, , RNA, 1, , , , , No sequence info, , "tRNA_Arg5 to use as transcriptional reporter", 
159, 2P, BBa_J01142, pSB1A2, --, OK, , RNA, 2, , , , , No sequence info, , "[pLacI pL][key3]", 
159, 3A, BBa_I1021, pSB2K0, --, OK, , RNA, 1, , , , , No sequence info, , "Antisense RNA w/BBa_I1020 Interference (KISS)", 
159, 3B, BBa_J07022, pSB1AC3, --, OK, , Coding, 1, , , , , No sequence info, , "sigma factor FecI controls iron transport ", 
159, 3C, BBa_I1022, pSB2K0, --, OK, , RNA, 1, , , , , No sequence info, , "Antisense RNA w/BBa_I1020 Interference (micRNA)", 
159, 3D, BBa_J13001, pSB1A2, --, OK, , Project, 11, , , , , No sequence info, , "LuxR generator.  POPS generate cI(LVA)  and LuxI(LVA)", 
159, 3E, BBa_I1023, pSB2K0, --, OK, , RNA, 1, , , , , No sequence info, , "CI(2) IS10 asRNA", 
159, 3F, BBa_J13002, pSB1A2, --, OK, , Regulatory, 2, , , , , No sequence info, , "TetR repressed POPS/RIPS generator", 
159, 3G, BBa_I1030, pSB2K0, --, OK, , RNA, 1, , , , , No sequence info, , "RNA Regulation Target  ( Promoter driven by C0040 and cI mod #1 CDS)", 
159, 3H, BBa_J13003, pSB1A2, --, OK, , Reporter, 5, , , , , No sequence info, , "POPS+RIPS generates CFP.  POPS generates YFP", 
159, 3I, BBa_I1031, pSB2K0, --, OK, , RNA, 1, , , , , No sequence info, , "CI(1) &quot;KISS&quot; asRNA", 
