Plate ,  Well ,  Part ,  Plasmid ,  Resistance ,  Well Status ,  Comments ,  Type ,  Subparts ,  Source ,  Gel Overall ,  Quantity ,  Plamsid ,  Sequencing ,  Seq Comment ,  Short Description , 
484, 1A, BBa_B1001, pSB1AK3, --, OK, , Terminator, 1, , , , , No sequence info, , "Terminator (artifical  small  %T~=90)", 
484, 1C, BBa_B1002, pSB1AK3, --, OK, , Terminator, 1, , , , , No sequence info, , "Terminator (artificial  small  %T~=85%)", 
484, 1E, BBa_B1003, pSB1AK3, --, OK, , Terminator, 1, , , , , No sequence info, , "Terminator (artificial  small  %T~=80)", 
484, 1I, BBa_B1005, pSB1AK3, --, OK, , Terminator, 1, , , , , No sequence info, , "Terminator (artificial  small  %T~=25%", 
484, 1K, BBa_B1006, pSB1AK3, --, OK, , Terminator, 1, , , , , No sequence info, , "Terminator (artificial  large  %T~>90)", 
484, 1M, BBa_B1007, pSB1AK3, --, OK, , Terminator, 1, , , , , No sequence info, , "Terminator (artificial  large  %T~=80)", 
484, 1O, BBa_B1008, pSB1AK3, --, OK, , Terminator, 1, , , , , No sequence info, , "Terminator (artificial  large   %T~=70)", 
484, 3A, BBa_B1009, pSB1AK3, --, OK, , Terminator, 1, , , , , No sequence info, , "Terminator (artificial  large  %T~=40%)", 
484, 3C, BBa_B1010, pSB1AK3, --, OK, , Terminator, 1, , , , , No sequence info, , "Terninator (artificial  large  %T~<10)", 
484, 3E, BBa_J45181, pSB1AT3, --, OK, , Generator, 6, , , , , No sequence info, , "Exponential phase dependent wintergreen odor generator", 
484, 3G, BBa_J45120, pSB1AT3, --, OK, , Generator, 5, , , , , No sequence info, , "Wintergreen odor generator", 
484, 3I, BBa_J45995, pSB1AT3, --, OK, , Generator, 5, , , , , No sequence info, , "Stationary phase dependent GFP generator", 
484, 3K, BBa_J45997, pSB1AT3, --, OK, , Composite, 5, , , , , No sequence info, , "Stationary phase dependent GFP generator", 
484, 3M, BBa_J45996, pSB1AK3, --, OK, , Generator, 6, , , , , No sequence info, , "Exponential phase dependent GFP generator", 
484, 3O, BBa_J45700, pSB1AK3, --, OK, , Project, 10, , , , , No sequence info, , "Wintergreen odor biosynthetic system", 
484, 4J, BBa_I52001, pSB3C5, --, OK, "Vectors", Plasmid, 2, , , , , No sequence info, , "ccdB and nonfunctional pUC19 derived high copy origin", 
484, 4L, BBa_I52002, pSB4C5, --, OK, , Plasmid, 2, , , , , No sequence info, , "ccdB and minimal pUC19 derived high copy origin", 
484, 4N, BBa_I52001, pSB3T5, --, OK, , Plasmid, 2, , , , , No sequence info, , "ccdB and nonfunctional pUC19 derived high copy origin", 
484, 4P, BBa_I52001, pSB4T5, --, OK, , Plasmid, 2, , , , , No sequence info, , "ccdB and nonfunctional pUC19 derived high copy origin", 
484, 5A, BBa_J45999, , --, OK, "Chloramphenicol resistance", Cell, 1, , , , , No sequence info, , "E. coli strain YYC912; Odor-free chassis", 
484, 5C, BBa_I50040, , --, OK, "Amp resistance", DNA, 1, , , , , No sequence info, , "nonfunctional pSC101 origin of replication", 
484, 5E, BBa_I51001, , --, OK, "Amp resistance", Plasmid, 17, , , , , No sequence info, , "BioBrick base vector  as revised by Codon Devices", 
484, 5G, BBa_I13534, pSB4A3, --, OK, , Measurement, 8, , , , , No sequence info, , "Screening Plasmid 2.6", 
484, 5I, BBa_I52001, pSB4A5, --, OK, "WRONG- DO NOT USE", Plasmid, 2, , , , , No sequence info, , "ccdB and nonfunctional pUC19 derived high copy origin", 
484, 5K, BBa_I52001, pSB4C5, --, OK, "WRONG- DO NOT USE", Plasmid, 2, , , , , No sequence info, , "ccdB and nonfunctional pUC19 derived high copy origin", 
484, 5M, BBa_I52001, pSB4T5, --, OK, "WRONG- DO NOT USE", Plasmid, 2, , , , , No sequence info, , "ccdB and nonfunctional pUC19 derived high copy origin", 
484, 5O, BBa_I52001, pSB4K5, --, OK, "WRONG- DO NOT USE", Plasmid, 2, , , , , No sequence info, , "ccdB and nonfunctional pUC19 derived high copy origin", 
484, 6B, BBa_I52002, pSB3K5, --, OK, , Plasmid, 2, , , , , No sequence info, , "ccdB and minimal pUC19 derived high copy origin", 
484, 6D, BBa_I52002, pSB4K5, --, OK, , Plasmid, 2, , , , , No sequence info, , "ccdB and minimal pUC19 derived high copy origin", 
484, 6F, BBa_I52001, pSB4A5, --, OK, , Plasmid, 2, , , , , No sequence info, , "ccdB and nonfunctional pUC19 derived high copy origin", 
484, 6H, BBa_V1023, , --, OK, "GentR", Cell, 1, , , , , No sequence info, , "E. coli strain CW2553 + pJat8", 
484, 6J, BBa_I13520, pSB1A2, --, OK, "needs Gent. Supplement", Composite, 5, , , , , No sequence info, , "Pbad mRFP", 
484, 6L, BBa_I13521, pSB1A2, --, OK, "needs Gent. Supplement", Reporter, 5, , , , , No sequence info, , "Ptet mRFP", 
484, 6N, BBa_I13522, pSB1A2, --, OK, "needs Gent. Supplement", Reporter, 5, , , , , No sequence info, , "pTet GFP", 
484, 6P, BBa_I13534, pSB1A10, --, OK, "needs Gent. Supplement", Measurement, 8, , , , , No sequence info, , "Screening Plasmid 2.6", 
484, 7A, BBa_P1010, pSB1A10, --, OK, "WRONG- DO NOT USE", Generator, 1, , , , , No sequence info, , "ccdB cell death gene", 
484, 7C, BBa_E71202, pSB1A2, --, OK, , Reporter, 4, , , , , No sequence info, , "reporter for VM.10", 
484, 7E, BBa_E71208, pSB1A3, --, OK, , Reporter, 4, , , , , No sequence info, , "Dedicated Systems Reporter", 
484, 7G, BBa_E71214, pSB1A3, --, OK, , Reporter, 4, , , , , No sequence info, , "Dedicated Systems Reporter", 
484, 7I, BBa_I7104, pSB1A2, --, OK, , Regulatory, 2, , , , , No sequence info, , "T7 promoter and sRBS", 
484, 7K, BBa_E7105, pSB1A2, --, OK, , Reporter, 4, , , , , No sequence info, , "GFP Reporter System for Dedicated Transcription Systems", 
484, 7M, BBa_E7107, pSB1A2, --, OK, , Reporter, 4, , , , , No sequence info, , "GFP Reporter System for Dedicated Transcription Systems", 
484, 8B, BBa_I13540, pSB1A2, --, OK, "needs Gent. Supplement", Composite, 5, , , , , No sequence info, , "Intermediate in two promoter screening plasmid", 
484, 8D, BBa_J61032, pSB1A2, --, OK, , Reporter, 1, , , , , No sequence info, , "Alkaline phosphatase [phoA]", 
484, 8F, BBa_J61034, pSB2K3, --, OK, , Composite, 6, , , , , No sequence info, , "[P_cat][lacI][TT][P_Llac 0-1] = [P_iptg]", 
484, 8H, BBa_J61034, BBa_J61002, --, OK, , Composite, 6, , , , , No sequence info, , "[P_cat][lacI][TT][P_Llac 0-1] = [P_iptg]", 
484, 8J, BBa_B0034, BBa_J61035, --, OK, " ", RBS, 1, , , , , No sequence info, , "RBS (Elowitz 1999) -- defines RBS efficiency", 
484, 8L, BBa_J61043, BBa_J61002, --, OK, , Regulatory, 1, , , , , No sequence info, , "[fdhF2] Promoter", 
484, 8N, BBa_J61046, pSB1A2, --, OK, , DNA, 1, , , , , No sequence info, , "[Lox] site for recombination", 
484, 8P, BBa_J61047, pSB1A2, --, OK, , Coding, 1, , , , , No sequence info, , "Cre DNA recombinase", 
484, 9A, BBa_R2109, pSB4A3, --, OK, , Regulatory, 1, , , , , No sequence info, , "Promoter with operator site for C2003", 
484, 9C, BBa_R2114, pSB1AT3, --, OK, , Regulatory, 1, , , , , No sequence info, , "Promoter with operator site for C2003", 
484, 9E, BBa_Q20060, pSB1AC3, --, OK, , Inverter, 5, , , , , No sequence info, , "Dimeric zinc finger based inverter", 
484, 9G, BBa_Q200614, pSB1AC3, --, OK, , Inverter, 5, , , , , No sequence info, , "Dimeric zinc finger based inverter", 
484, 9I, BBa_Q20070, pSB1AC3, --, OK, , Inverter, 5, , , , , No sequence info, , "Dimeric zinc finger based inverter", 
484, 9K, BBa_Q200714, pSB1AC3, --, OK, , Inverter, 5, , , , , No sequence info, , "Dimeric zinc finger based inverter", 
484, 9M, BBa_P2005, pSB1AC3, --, OK, , Generator, 4, , , , , No sequence info, , "Zif268-GCN4 protein generator", 
484, 9O, BBa_P2006, pSB3K3, --, OK, , Generator, 4, , , , , No sequence info, , "PoPS->MalE.FactorXa.Zif268-GCN4", 
484, 10B, BBa_J61048, pSB1A2, --, OK, , Terminator, 1, , , , , No sequence info, , "[rnpB-T1] Terminator", 
484, 10D, BBa_J61051, BBa_J61002, --, OK, , Regulatory, 1, , , , , No sequence info, , "[Psal1]", 
484, 10F, BBa_J61206, pSB1A2, --, OK, , Intermediate, 5, , , , , No sequence info, , "[Tn5F][rbsGenR][SpecR][P_T7][Tn5R]", 
484, 10H, BBa_J61201, pSB1A2, --, OK, , Translational_Unit, 1, , , , , No sequence info, , "[rbsGenR]", 
484, 10J, BBa_J61205, pSB1A2, --, OK, , Intermediate, 3, , , , , No sequence info, , "[SpecR][P_T7][Tn5R]", 
484, 10L, BBa_J61203, pSB1A2, --, OK, , Intermediate, 2, , , , , No sequence info, , "[CmR][TnP]", 
484, 10N, BBa_J61209, pSB1A2, --, OK, , Intermediate, 3, , , , , No sequence info, , "[SpecR][OriTr][TnP]", 
484, 10P, BBa_J61204, pSB1A2, --, OK, , Intermediate, 4, , , , , No sequence info, , "[CmR][TnP][OriTr][R6K]", 
484, 11A, BBa_P2007, pSB3K3, --, OK, , Generator, 4, , , , , No sequence info, , "PoPS->Zif268-GCN4.MalE", 
484, 11C, BBa_P1010, pSB3K3, --, OK, , Generator, 1, , , , , No sequence info, , "ccdB cell death gene", 
484, 11E, BBa_P1010, pSB1A10, --, OK, , Generator, 1, , , , , No sequence info, , "ccdB cell death gene", 
484, 12B, BBa_J61202, pSB1A2, --, OK, , Intermediate, 2, , , , , No sequence info, , "[Tn5F][rbsGenR]", 
484, 12D, BBa_J61208, pSB1A2, --, OK, , Intermediate, 2, , , , , No sequence info, , "[SpecR][OriTr]", 
484, 12F, BBa_J61210, pSB1A2, --, OK, , Intermediate, 6, , , , , No sequence info, , "[FRT][R6K][CmR][FRT][P_T7][Tn5R]", 
484, 12H, BBa_J61211, pSB1A2, --, OK, , Intermediate, 8, , , , , No sequence info, , "[Tn5F][rbsGenR][FRT][R6K][CmR][FRT][P_T7][Tn5R]", 
484, 12J, BBa_J61100, pSB1A2, --, OK, , RBS, 1, , , , , No sequence info, , "Ribosome Binding Site Family Member", 
484, 12L, BBa_J61101, pSB1A2, --, OK, , RBS, 1, , , , , No sequence info, , "Ribosome Binding Site Family Member", 
484, 12N, BBa_J61102, pSB1A2, --, OK, , RBS, 1, , , , , No sequence info, , "Ribosome Binding Site Family Member", 
484, 12P, BBa_J61103, pSB1A2, --, OK, , RBS, 1, , , , , No sequence info, , "Ribosome Binding Site Family Member", 
484, 13A, BBa_S03650, pSB1AK3, --, OK, , Intermediate, 3, , , , , No sequence info, , "B0100:B0015", 
484, 13C, BBa_S03651, pSB4A3, --, OK, , Intermediate, 2, , , , , No sequence info, , "S00159:P1010", 
484, 13E, BBa_S03652, pSB1AK3, --, OK, , Intermediate, 4, , , , , No sequence info, , "E0041:S03650", 
484, 13G, BBa_S03653, pSB1AK3, --, OK, , Intermediate, 4, , , , , No sequence info, , "E0042:S03650", 
484, 13I, BBa_I20100, pSB4A3, --, OK, , Measurement, 6, , , , , No sequence info, , "RBS Scaffold with GFP reporter", 
484, 14B, BBa_J61104, pSB1A2, --, OK, , RBS, 1, , , , , No sequence info, , "Ribosome Binding Site Family Member", 
484, 14D, BBa_J61105, pSB1A2, --, OK, , RBS, 1, , , , , No sequence info, , "Ribosome Binding Site Family Member", 
484, 14F, BBa_J61106, pSB1A2, --, OK, , RBS, 1, , , , , No sequence info, , "Ribosome Binding Site Family Member", 
