Plate ,  Well ,  Part ,  Plasmid ,  Resistance ,  Well Status ,  Comments ,  Type ,  Subparts ,  Source ,  Gel Overall ,  Quantity ,  Plamsid ,  Sequencing ,  Seq Comment ,  Short Description , 
682, 1A, BBa_I6001, pSB1A2, --, OK, , Measurement, 15, , , , , No sequence info, , "QPI Curve Test I0500.E0422.I0500.Q04121.E0432", 
682, 1B, BBa_J52013, pSB1AK3, --, OK, "Registry 2006 -> 2006 Source Plate 2", Coding, 1, , , , , No sequence info, , "dnMyD88-linker-Rluc-linker-PEST191", 
682, 1C, BBa_I6007, pSB1A2, --, OK, , Measurement, 15, , , , , No sequence info, , "QPI Curve Test I0500.E0422.I0500.Q04400.E0432", 
682, 1D, BBa_S03575, pSB1AK3, --, OK, "Registry 2006 -> 2006 Source Plate 3", Intermediate, 2, , , , , No sequence info, , "B0034:J32020", 
682, 1E, BBa_I6013, pSB1A2, --, OK, , Measurement, 15, , , , , No sequence info, , "QPI Curve Test I0500.E0422.I0500.Q04510.E0432", 
682, 1F, BBa_P0140, pSB1AK3, --, OK, "MIT Distribution 4.04 -> BioBricks 2", Generator, 4, , , , , No sequence info, , "PoPS -> TetR  [S0163]", 
682, 1G, BBa_I6016, pSB1A2, --, OK, , Measurement, 15, , , , , No sequence info, , "QPI Curve Test I0500.E0422.I0500.Q04511.E0432", 
682, 1H, BBa_P0312, pSB1AK3, --, OK, "MIT Distribution 4.04 -> BioBricks 2", Generator, 4, , , , , No sequence info, , "PoPS -> LacI   [S0156]", 
682, 1I, BBa_I6019, pSB1A2, --, OK, , Measurement, 15, , , , , No sequence info, , "QPI Curve Test I0500.E0422.I0500.Q04520.E0432", 
682, 1J, BBa_P0340, pSB1AK3, --, OK, "MIT Distribution 4.04 -> BioBricks 2", Generator, 4, , , , , No sequence info, , "PoPS -> TetR  [S0157]", 
682, 1K, BBa_I6301, pSB1A2, --, OK, , Measurement, 15, , , , , No sequence info, , "QPI Curve Test I0500.E0420.I0500.Q04121.E0430", 
682, 1L, BBa_P0353, pSB1AK3, --, OK, "MIT Distribution 4.04 -> BioBricks 2", Generator, 4, , , , , No sequence info, , "PoPS -> cII (p22)   [S0161]", 
682, 1M, BBa_I6316, pSB1A2, --, OK, , Measurement, 15, , , , , No sequence info, , "QPI Curve Test I0500.E0420.I0500.Q04511.E0430", 
682, 1N, BBa_P0451, pSB1AK3, --, OK, "MIT Distribution 4.04 -> BioBricks 2", Generator, 4, , , , , No sequence info, , "PoPS -> cI (lambda)   [S0153]", 
